Scheme,Description,Agency,Image,Link,Who's it for,What it gives,Scheme Type,search_booster(WL)
Viriya Children Medical Programme (VCMP),Help and support for child who requires long term medical support and his/her family. VCMP works closely with the family to support the parents and caregivers in overcoming challenges to care and meet the needs of the family and also provide support to the siblings of the direct beneficiary to ensure that their care and developmental needs are not compromised due to more attention needed by the child with medical condition. Successful applicants are provided with S$100 worth of assistance per month and can be further supported by other VCS’ programmes and services.,Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/financial-assistance-programme/viriya-children-medical-programme/,"Children,Youth,Low income","Casework,Financial assistance for healthcare","Children,Youth,Low Income,Healthcare","Casework, financial assistance, medical help, children with chronic illness, low income, long term illness"
Viriya Elderly Medical Programme (VEMP),"Help seniors with various medical conditions and who have low social and financial support. VEMP helps seniors cover their daily expenses. VEMP also helps the elderly cope with medical expenses including transport, TCM treatment and other consumables. Social work practitioners will work with eldercare agencies and hospitals to provide community care for the elderly. Case management services will also be provided to link the beneficiaries to the required community resources.",Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/financial-assistance-programme/viriya-children-medical-programme/,"Elderly,Low income","Casework,Financial assistance for healthcare","Elderly,Low Income,Healthcare","elderly, seniors, eldercare, medical subsidy, chronic health issues, no money, help with doctor, chronic illness, long term illness, need monet for medical costs"
Viriya MediAssist Fund (Potong Pasir residents only),"The fund helps residents in Potong Pasir who require medical treatment to defray the costs of their medical follow-ups, medical equipment and consumables, treatments and other support services such as home help service and home rectification. A joint collaboration between VFSC and Potong Pasir Citizen’s Consultative Committee (CCC).",Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/financial-assistance-programme/viriya-mediassist-fund/,Low income,"Financial assistance for healthcare,Casework,Counselling","Low Income,Healthcare","potong pasir, financial help, medical fund, need monet for medical costs"
Viriya Mental Wellness Hub,At Viriya Mental Wellness Hub (MWH) creates a caring community of individuals and families achieving good mental wellness and live a fulfilled life in the community.,Viriya Community Services,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/our-services/community-mental-health/viriya-mental-wellness-hub/,In need of mental healthcare,"Support group,Specialist talks,Emotional support,Counselling",Mental Health,"group therapy, support group, mental wellness, depression, mood disorders, anxiety, Cognitive behavioural therapy, counselling"
Gambling Recovery Intervention Programme (GRIP),"G.R.I.P. is a counselling treatment programme for persons with a gambling problem. The programme involves the individual, as well as the family members, in counselling and self-help groups.",We Care Community Services,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/WeCare.png,https://www.wecare.org.sg/addiction-gambling.asp,"Persons with gambling addiction,Gambling addicts",Counselling,"Debt,Family","gambling support group, problem gambling, always in debt, casino, debt problem, gambling addiction, addict recovery, owe money, cannot quit gambling, online betting, horse"
WeCan Early Intervention Programme,"The WeCAN EIP programme was developed to meet the needs of young children on the autism spectrum and their families in Singapore. The programme develops a scalable intervention package that can be implemented across Singapore and beyond for children on the autism spectrum between the ages of 18mths and 6 years. It also provides autism specific intervention for young children with the diagnosis of autism, in order to help them gain functional and independent skills for more successful transition.",WeCan EIP Singapore,https://chidnast.sirv.com/SchemesSG/wecaneip.jpg,https://www.wecaneip.com/,Autism spectrum,"Educational programmes,Vocational training","Family,Special Needs,Children","my kid is autistic, autism spectrum, learning disability"
Willing Hearts,"To provide daily meals, food and other support services to the underprivileged, the needy, and other marginalized members in Singapore, and to assist and guide them towards rehabilitating and reinstating themselves as useful members of our society.",Willing Hearts,https://chidnast.sirv.com/SchemesSG/willinghearts.jpg,https://willinghearts.org.sg/services,Need food support,Food,"Low Income,Food","Have not eaten, hungry"
Career Matching Services,"Access to quick career tips, career advice and guidance. MyCareersFuture portal to help you search and apply for jobs that match your skills. Career preparatory workshops, networking sessions and walk-in interviews to improve your job search chances.",Workforce Singapore (WSG),https://chidnast.sirv.com/SchemesSG/wsg.jpg,https://www.wsg.gov.sg/career-services.html,"Retrenched,In need of job",Employment assistance,Work,"In need of a job, need to find a job fast. Jobless. Retrenched. Furloughed. Requires skills training."
Workfare Skills Support (WSS) Scheme,"WSS encourages low wage workers to undertake training that leads to more impactful employment outcomes. Eligible individuals may receive: Training allowance for selected courses that individuals had paid for themselves, and a cash reward for completing training",Workforce Singapore (WSG),https://chidnast.sirv.com/SchemesSG/wsg.jpg,https://www.wsg.gov.sg/programmes-and-initiatives/workfare-skills-support-scheme-individuals.html,"Low wage workers,Low income","Employment assistance,Financial assistance for low wage workers",Work,"Low income, upskill, low wage workers,training"
Assistance,"Various education subsidies, bursaries, study loans, scholarships, sponsorships and awards.",Yayasan MENDAKI,https://chidnast.sirv.com/SchemesSG/mendaki.jpg,https://www.mendaki.org.sg/assistance-landing/,"Low income,Need education assistance,Need food support","Financial assistance,Food,Educational programmes","Low Income,Education","Preschool, tuition fee, NITEC, polytechnic, Malay Muslim students, university, tertiary, study loan"
Various services,"We galvanise society to uplift ex-offenders through skills and career development, co-creating opportunities for their successful reintegration and contribute back to society. Programmes include employability skills training, industry skills training, work programme and job retention support",Yellow Ribbon Singapore,https://chidnast.sirv.com/SchemesSG/yellowribbon.jpg,https://www.yellowribbon.gov.sg/what-we-do,Ex-offenders,"Employment assistance,Vocational training","Ex-offender,Work,Employment","ex-convict social program, ex-convict need job, ex-convict skills training course, learning programme"
YMCA,"Short term financial assistance, bridging fund for emergency situations, and employment training for persons with special needs",Young Men's Christian Association (YMCA),https://chidnast.sirv.com/SchemesSG/ymca.jpg,https://www.ymca.org.sg/what-we-do/organisational-profile/,"Low income,Low income families,Persons with special needs","Financial assistance for daily needs,Employment assistance for persons with special needs","Low Income,Special Needs,Family","Financial assistance, money for daily expenses, household needs, befriending"
